days,miles,receipts,expected,actual,error,per_diem,mileage,receipts_band,sweet_spot,vacation_penalty,extra_penalty,rounding_bonus,efficiency,spend_per_day
8,610.0,208.29,841.27,1012.1743542494924,170.90435424949237,656,199.95685424949238,156.2175,1.0,1.0,1.0,0,76.25,26.03625
12,333.0,1103.21,1618.13,1563.7068622267443,-54.4231377732558,984,135.20880215351698,835.4247756299134,1.0,0.8,1.0,0,27.75,91.93416666666667
8,435.0,1129.65,1525.26,1323.0759973239628,-202.18400267603715,656,159.70685424949238,838.1381424054608,1.0,0.8,1.0,0,54.375,141.20625
9,218.0,1203.45,1561.63,1352.788074557538,-208.84192544246207,738,109.47333333333333,843.5117598635891,1.0,0.8,1.0,0,24.22222222222222,133.71666666666667
12,781.0,1159.18,1752.72,1650.2658070800999,-102.45419291990015,984,238.24880215351698,840.5834566966078,1.0,0.8,1.0,0,65.08333333333333,96.59833333333334
11,916.0,1036.91,2098.07,1595.8357113355557,-502.2342886644444,902,269.50418151324425,823.2904576562003,1.0,0.8,1.0,0,83.27272727272727,94.26454545454546
10,358.0,2066.62,1624.11,1459.7966148557496,-164.31338514425033,820,141.39964425626943,863.3461243134172,1.0,0.8,1.0,0,35.8,206.66199999999998
12,566.0,2013.7,1752.03,1628.4278880246393,-123.60211197536069,984,188.798802153517,862.7360578772817,1.0,0.8,1.0,0,47.166666666666664,167.80833333333334
9,954.0,1483.39,2024.2,1496.4927169949083,-527.7072830050918,738,278.75333333333333,853.862562910302,1.0,0.8,1.0,0,106.0,164.82111111111112
9,534.0,1929.94,1624.87,1425.4844398204973,-199.3855601795026,738,182.15333333333334,861.7022164422883,1.0,0.8,1.0,0,59.333333333333336,214.4377777777778
12,765.0,1343.97,1953.03,1654.6865361088983,-298.3434638911017,984,234.56880215351703,849.7893679826055,1.0,0.8,1.0,0,63.75,111.9975
8,630.0,967.69,1388.05,1308.4835554318208,-79.56644456817912,656,204.5568542494924,775.0475900402837,1.0,0.8,1.0,0,78.75,120.96125
10,909.0,696.0,1505.19,1789.7387480739553,284.54874807395527,820,268.1296442562694,701.609103817686,1.0,1.0,1.0,0,90.9,69.6
10,223.0,745.89,1037.45,1654.7822646601521,617.3322646601521,820,110.34964425626941,724.4326204038828,1.0,1.0,1.0,0,22.3,74.589
8,467.0,1178.71,1483.33,1332.024692830305,-151.30530716969497,656,167.0668542494924,841.9640117883885,1.0,0.8,1.0,0,58.375,147.33875
9,708.0,461.07,1110.6,1305.9758333333334,195.3758333333335,738,222.17333333333335,345.8025,1.0,1.0,1.0,0,78.66666666666667,51.23
9,885.0,1764.97,1694.37,1488.1959423111905,-206.1740576888094,738,262.8833333333333,859.3615945556546,1.0,0.8,1.0,0,98.33333333333333,196.10777777777778
6,855.0,591.35,1339.72,1192.694472647422,-147.02552735257814,492,257.1819726474218,443.51250000000005,1.0,1.0,1.0,0,142.5,98.55833333333334
2,993.0,54.24,715.19,498.3837084989848,-216.80629150101527,164,293.7037084989848,40.68,1.0,1.0,1.0,0,496.5,27.12
5,685.0,747.14,1216.36,1353.6040950201823,137.24409502018239,410,218.70541752799934,724.898677492183,1.0,1.0,1.0,0,137.0,149.428
3,981.0,341.45,813.95,790.955104307034,-22.994895692965997,246,288.867604307034,256.0875,1.0,1.0,1.0,0,327.0,113.81666666666666
5,770.0,873.33,1502.49,1407.0436643976764,-95.44633560232364,410,238.25541752799933,758.788246869677,1.0,1.0,1.0,0,154.0,174.666
6,697.0,651.64,1237.71,1380.8331684333602,143.1231684333602,492,220.8419726474218,667.9911957859384,1.0,1.0,1.0,0,116.16666666666667,108.60666666666667
3,795.0,450.85,743.94,830.225104307034,86.28510430703398,246,246.087604307034,338.13750000000005,1.0,1.0,1.0,0,265.0,150.28333333333333
3,606.0,1184.23,1364.54,1290.9446623625108,-73.59533763748914,246,202.61760430703401,842.3270580554769,1.0,1.0,1.0,0,202.0,394.74333333333334
3,842.0,865.37,1251.14,1260.0663518912131,8.926351891213017,246,256.89760430703404,757.1687475841791,1.0,1.0,1.0,0,280.6666666666667,288.45666666666665
7,748.0,241.73,971.31,987.3849315681476,16.07493156814769,574,232.08743156814765,181.29749999999999,1.0,1.0,1.0,0,106.85714285714286,34.53285714285714
7,624.0,148.16,905.79,888.6874315681476,-17.10256843185232,574,203.56743156814764,111.12,1.0,1.0,1.0,0,89.14285714285714,21.165714285714284
2,713.0,740.33,1048.28,1115.614075474888,67.3340754748881,164,229.30370849898478,722.3103669759032,1.0,1.0,1.0,0,356.5,370.165
3,874.0,1191.4,1515.99,1353.0404012676745,-162.9495987323255,246,264.25760430703406,842.7827969606406,1.0,1.0,1.0,0,291.3333333333333,397.1333333333334
6,761.0,530.19,1120.1,1125.2044726474219,5.1044726474219715,492,235.56197264742178,397.64250000000004,1.0,1.0,1.0,0,126.83333333333333,88.36500000000001
1,815.0,97.89,539.36,412.8675,-126.4925,82,257.45,73.4175,1.0,1.0,1.0,0,815.0,97.89
1,601.0,497.7,644.12,497.62874999999997,-146.49125000000004,82,208.23,373.275,1.0,1.0,0.75,0,601.0,497.7
7,817.0,1127.87,1809.91,1659.9309598016125,-149.97904019838757,574,247.95743156814763,837.9735282334649,1.0,1.0,1.0,0,116.71428571428571,161.1242857142857
1,606.0,923.0,1050.05,794.4906700264337,-255.55932997356626,82,209.38,767.9408933685781,1.0,1.0,0.75,0,606.0,923.0
1,909.0,741.82,866.07,812.9678852149898,-53.10211478501026,82,279.07,722.887180286653,1.0,1.0,0.75,0,909.0,741.82
3,624.0,1160.92,1459.34,1293.4707114420846,-165.8692885579153,246,206.75760430703403,840.7131071350506,1.0,1.0,1.0,0,208.0,386.97333333333336
4,650.0,619.49,676.38,1175.5965329237945,499.2165329237945,328,211.5,616.0965329237945,1.0,1.0,1.0,20,162.5,154.8725
6,204.0,818.99,628.4,1366.0989876399817,737.6989876399817,492,107.4519726474218,746.64701499256,1.0,1.0,1.0,20,34.0,136.49833333333333
1,263.0,396.49,198.42,529.8575,331.4375,82,130.48999999999998,297.3675,1.0,1.0,1.0,20,263.0,396.49
1,451.0,555.49,162.18,524.260625,362.080625,82,173.73,416.6175,1.0,1.0,0.75,20,451.0,555.49
10,424.0,474.99,831.96,1352.8221442562694,520.8621442562694,820,156.5796442562694,356.2425,1.0,1.0,1.0,20,42.4,47.499
2,565.0,389.49,415.96,671.3812084989847,255.42120849898475,164,195.26370849898478,292.1175,1.0,1.0,1.0,20,282.5,194.745
9,397.0,348.49,913.29,1170.0108333333333,256.7208333333333,738,150.64333333333332,261.3675,1.0,1.0,1.0,20,44.111111111111114,38.721111111111114
1,532.0,413.99,355.57,458.639375,103.06937499999998,82,192.35999999999999,310.4925,1.0,1.0,0.75,20,532.0,413.99
2,384.0,495.49,290.36,709.2512084989849,418.89120849898484,164,153.63370849898476,371.6175,1.0,1.0,1.0,20,192.0,247.745
5,754.0,489.99,765.13,1032.0679175279993,266.9379175279993,410,234.57541752799932,367.4925,1.0,1.0,1.0,20,150.8,97.998
1,344.46,813.85,707.88,732.4293795466165,24.54937954661648,82,149.2258,745.3467060621552,1.0,1.0,0.75,0,344.46,813.85
3,906.3,540.03,848.42,922.7091043070341,74.28910430703411,246,271.68660430703403,405.0225,1.0,1.0,1.0,0,302.09999999999997,180.01
3,1007.56,187.52,764.64,681.616404307034,-83.02359569296596,246,294.97640430703404,140.64000000000001,1.0,1.0,1.0,0,335.8533333333333,62.50666666666667
1,359.62,221.15,255.57,400.5751,145.00510000000003,82,152.71259999999998,165.8625,1.0,1.0,1.0,0,359.62,221.15
1,362.79,749.19,636.51,720.8221978177214,84.31219781772143,82,153.4417,725.6545637569619,1.0,1.0,0.75,0,362.79,749.19
1,288.72,159.26,303.94,337.8506,33.91059999999999,82,136.4056,119.445,1.0,1.0,1.0,0,288.72,159.26
2,782.17,830.72,1165.44,869.037708406161,-296.4022915938391,164,245.21280849898477,749.5041360425632,1.0,1.0,0.75,0,391.085,415.36
2,623.18,347.54,625.15,633.3001084989849,8.150108498984878,164,208.64510849898477,260.65500000000003,1.0,1.0,1.0,0,311.59,173.77
3,1061.15,388.5,693.36,844.677104307034,151.31710430703401,246,307.302104307034,291.375,1.0,1.0,1.0,0,353.7166666666667,129.5
1,252.75,285.5,331.74,424.2575,92.51749999999998,82,128.1325,214.125,1.0,1.0,1.0,0,252.75,285.5
3,1020.39,250.62,779.08,731.8923043070341,-47.18769569296592,246,297.92730430703403,187.965,1.0,1.0,1.0,0,340.13,83.54
1,257.97,816.81,738.01,718.0742788289945,-19.935721171005525,82,129.3331,746.0992717719926,1.0,1.0,0.75,0,257.97,816.81
3,1025.03,592.55,992.4,989.407004307034,-2.9929956929660193,246,298.99450430703405,444.41249999999997,1.0,1.0,1.0,0,341.6766666666667,197.51666666666665
2,794.32,402.31,671.06,713.7398084989848,42.67980849898481,164,248.00730849898477,301.7325,1.0,1.0,1.0,0,397.16,201.155
1,276.85,485.54,361.66,434.872875,73.212875,82,133.6755,364.15500000000003,1.0,1.0,0.75,0,276.85,485.54
2,851.68,473.96,650.68,780.6701084989847,129.9901084989848,164,261.2001084989848,355.46999999999997,1.0,1.0,1.0,0,425.84,236.98
3,859.12,611.07,960.47,1093.8249712380534,133.3549712380534,246,260.835204307034,586.9897669310194,1.0,1.0,1.0,0,286.37333333333333,203.69000000000003
3,1317.07,476.87,787.42,969.8162043070341,182.39620430703417,246,366.16370430703404,357.65250000000003,1.0,1.0,1.0,0,439.0233333333333,158.95666666666668
1,388.1,827.37,741.46,742.4746437265444,1.0146437265443637,82,159.26299999999998,748.7031916353925,1.0,1.0,0.75,0,388.1,827.37
1,264.39,758.27,636.19,706.2695611046272,70.07956110462715,82,130.8097,728.883048139503,1.0,1.0,0.75,0,264.39,758.27
5,198.21,594.83,807.48,962.3188765411238,154.8388765411238,410,106.19637654112374,446.12250000000006,1.0,1.0,1.0,0,39.642,118.96600000000001
6,72.85,457.75,666.59,874.1167710368234,207.52677103682333,492,38.80427103682339,343.3125,1.0,1.0,1.0,0,12.141666666666666,76.29166666666667
8,297.64,481.09,835.08,1144.9315542494924,309.8515542494923,656,128.11405424949237,360.8175,1.0,1.0,1.0,0,37.205,60.13625
7,237.33,1262.27,1452.17,1535.1793715284598,83.00937152845972,574,114.63333156814765,846.546039960312,1.0,1.0,1.0,0,33.90428571428571,180.3242857142857
5,195.73,1228.49,511.23,1379.7658413324361,868.5358413324361,410,104.86764936377654,844.8981919686596,1.0,1.0,1.0,20,39.146,245.698
8,276.28,1179.9,1522.6,1296.995572368135,-225.60442763186484,656,123.20125424949238,842.0432112106763,1.0,0.8,1.0,0,34.535,147.4875
8,302.24,1046.04,1353.77,1288.8415299155506,-64.92847008444937,656,129.1720542494924,825.8798581449457,1.0,0.8,1.0,0,37.78,130.755
8,266.87,252.08,880.41,966.0969542494925,85.68695424949249,656,121.03695424949238,189.06,1.0,1.0,1.0,0,33.35875,31.51
9,310.69,239.64,828.16,1048.5220333333334,220.36203333333344,738,130.79203333333334,179.73,1.0,1.0,1.0,0,34.52111111111111,26.626666666666665
6,222.08,709.07,1031.34,1312.1717816343635,280.83178163436355,492,111.6103726474218,708.5614089869416,1.0,1.0,1.0,0,37.013333333333335,118.17833333333334
8,264.94,720.67,1019.85,1192.5321917187655,172.68219171876547,656,120.59305424949238,714.0721853989646,1.0,0.8,1.0,0,33.1175,90.08375
8,161.15,1230.37,1499.24,1268.90328539362,-230.33671460637993,656,85.1330103115285,844.9960964304964,1.0,0.8,1.0,0,20.14375,153.79625
9,259.96,554.74,835.54,1273.1791333333333,437.63913333333335,738,119.12413333333332,416.055,1.0,1.0,1.0,0,28.88444444444444,61.63777777777778
9,97.85,518.56,850.57,1178.4543333333331,327.8843333333331,738,51.53433333333332,388.91999999999996,1.0,1.0,1.0,0,10.872222222222222,57.617777777777775
9,194.34,1054.93,1374.9,1334.6475915262906,-40.252408473709465,738,102.35239999999999,827.9570894078632,1.0,0.8,1.0,0,21.593333333333334,117.21444444444445
9,332.35,374.61,830.45,1154.7313333333332,324.2813333333331,738,135.77383333333333,280.9575,1.0,1.0,1.0,0,36.92777777777778,41.623333333333335
5,126.44,696.14,845.35,1179.4320829916692,334.08208299166915,410,67.74365496120117,701.688428030468,1.0,1.0,1.0,0,25.288,139.228
5,66.13,848.03,1050.25,1198.8974742180608,148.64747421806078,410,35.43093880563298,753.4665354124279,1.0,1.0,1.0,0,13.225999999999999,169.606
6,135.34,1144.13,1478.11,1403.489623102159,-74.62037689784097,492,72.09018589051034,839.3994372116485,1.0,1.0,1.0,0,22.55666666666667,190.68833333333336
6,233.7,346.98,648.57,866.5179726474217,217.9479726474217,492,114.28297264742179,260.235,1.0,1.0,1.0,0,38.949999999999996,57.830000000000005
9,849.0,1007.41,1785.47,1438.2594156184105,-347.21058438158957,738,254.60333333333335,805.2209361896795,1.0,0.8,1.0,0,94.33333333333333,111.93444444444444
6,806.0,1760.64,1718.76,1597.2055391865597,-121.5544608134403,492,245.9119726474218,859.2935665391378,1.0,1.0,1.0,0,134.33333333333334,293.44
8,891.0,1194.36,2016.46,1410.842288700562,-605.617711299438,656,264.5868542494924,842.9660066262101,1.0,0.8,1.0,0,111.375,149.295
9,1182.0,1342.24,2164.15,1535.1378966131697,-629.0121033868304,738,331.1933333333333,849.7290374331284,1.0,0.8,1.0,0,131.33333333333334,149.13777777777779
7,1010.0,1514.03,2063.98,1720.9460118867407,-343.0339881132593,574,292.34743156814767,854.5985803185931,1.0,1.0,1.0,0,144.28571428571428,216.29
8,892.0,1768.53,1902.37,1424.1872736142714,-478.18272638572853,656,264.8168542494924,859.4172377683465,1.0,0.8,1.0,0,111.5,221.06625
6,825.0,1692.73,1817.77,1600.4548451790781,-217.31515482092186,492,250.2819726474218,858.1728725316564,1.0,1.0,1.0,0,137.5,282.12166666666667
8,1118.0,1758.52,1852.47,1465.645578087192,-386.824421912808,656,316.7968542494924,859.2601183594974,1.0,0.8,1.0,0,139.75,219.815
8,1064.0,1756.52,1857.04,1455.6842656219656,-401.3557343780344,656,304.3768542494924,859.2284777779643,1.0,0.8,1.0,0,133.0,219.565
6,811.0,1252.04,1771.8,1585.1324220972517,-186.66757790274823,492,247.06197264742178,846.07044944983,1.0,1.0,1.0,0,135.16666666666666,208.67333333333332
7,889.0,1417.96,1826.08,1690.6386154696638,-135.4413845303361,574,264.51743156814763,852.1211839015161,1.0,1.0,1.0,0,127.0,202.56571428571428
9,1012.0,1429.04,1880.76,1506.0222004532793,-374.7377995467207,738,292.09333333333336,852.4344172332657,1.0,0.8,1.0,0,112.44444444444444,158.78222222222223
6,909.0,1332.18,1720.21,1610.974045763062,-109.23595423693814,492,269.6019726474218,849.3720731156402,1.0,1.0,1.0,0,151.5,222.03
9,1096.0,1690.22,1894.85,1526.0341677298175,-368.81583227018245,738,311.41333333333336,858.1293763289383,1.0,0.8,1.0,0,121.77777777777777,187.8022222222222
9,913.0,1021.29,1964.86,1459.3926956831745,-505.46730431682545,738,269.3233333333333,816.9175362706346,1.0,0.8,1.0,0,101.44444444444444,113.47666666666666
6,1006.0,1219.71,1803.97,1628.3420466206305,-175.6279533793695,492,291.9119726474218,844.4300739732087,1.0,1.0,1.0,0,167.66666666666666,203.285
6,907.0,1650.17,1737.86,1618.555100087256,-119.30489991274385,492,269.1419726474218,857.413127439834,1.0,1.0,1.0,0,151.16666666666666,275.02833333333336
9,816.0,1171.81,1780.58,1461.2060196287885,-319.3739803712115,738,247.01333333333332,841.4941912026521,1.0,0.8,1.0,0,90.66666666666667,130.20111111111112
7,1006.0,1181.33,2279.82,1707.5651288546223,-572.2548711453778,574,291.42743156814765,842.1376972864747,1.0,1.0,1.0,0,143.71428571428572,168.76142857142855
6,835.0,1404.28,1765.79,1596.3047893843236,-169.48521061567635,492,252.58197264742182,851.7228167369017,1.0,1.0,1.0,0,139.16666666666666,234.04666666666665
12,528.0,2476.41,1662.88,1625.0425845280088,-37.837415471991335,984,180.05880215351698,867.2444285064936,1.0,0.8,1.0,0,44.0,206.36749999999998
4,69.0,2321.49,322.0,1251.1751377290675,929.1751377290675,328,37.260000000000005,865.9151377290676,1.0,1.0,1.0,20,17.25,580.3725
11,1179.0,31.36,1550.55,1255.5141815132442,-295.0358184867557,902,329.99418151324426,23.52,1.0,1.0,1.0,0,107.18181818181819,2.850909090909091
13,756.0,954.4,1793.07,2071.346016934432,278.27601693443216,1066,232.31760156980187,773.0284153646303,1.0,1.0,1.0,0,58.15384615384615,73.41538461538461
1,123.0,2076.65,1171.68,762.5987510872283,-409.0812489127718,82,71.33999999999999,863.4583347829712,1.0,1.0,0.75,0,123.0,2076.65
3,1162.0,2152.66,1434.71,1440.7738201241816,6.063820124181575,246,330.49760430703407,864.2762158171475,1.0,1.0,1.0,0,387.3333333333333,717.5533333333333
1,822.0,2170.53,1374.91,904.1405016687273,-470.76949833127276,82,259.06,864.4606688916364,1.0,1.0,0.75,0,822.0,2170.53
11,558.0,1549.86,1823.47,1555.6558626685678,-267.8141373314322,902,187.16418151324422,855.4056468224653,1.0,0.8,1.0,0,50.72727272727273,140.89636363636362
2,753.0,1111.16,1353.87,929.1080280602112,-424.76197193978874,164,238.5037084989848,836.3069955812966,1.0,1.0,0.75,0,376.5,555.58
10,224.0,407.51,794.7,1236.2121442562693,441.51214425626927,820,110.5796442562694,305.6325,1.0,1.0,1.0,0,22.4,40.751
6,383.0,462.79,800.3,987.7144726474219,187.41447264742192,492,148.62197264742179,347.09250000000003,1.0,1.0,1.0,0,63.833333333333336,77.13166666666667
8,1005.0,1391.37,1987.39,1438.512956813907,-548.877043186093,656,290.8068542494924,851.3343417678914,1.0,0.8,1.0,0,125.625,173.92125
10,1145.0,311.43,1366.61,1375.9821442562695,9.372144256269621,820,322.4096442562694,233.5725,1.0,1.0,1.0,0,114.5,31.143
5,1004.0,2367.63,1743.85,1568.4020822517236,-175.44791774827627,410,292.0754175279993,866.3266647237243,1.0,1.0,1.0,0,200.8,473.526
5,873.0,1402.35,1676.79,1523.6109520864566,-153.1790479135434,410,261.9454175279993,851.6655345584571,1.0,1.0,1.0,0,174.6,280.46999999999997
2,165.0,1813.32,1273.45,836.9474466924395,-436.50255330756056,164,91.83380951166244,860.0961194115903,1.0,1.0,0.75,0,82.5,906.66
5,1076.0,190.33,879.65,990.5903551571992,110.94035515719918,410,308.6354175279994,142.7475,1.15,1.0,1.0,0,215.2,38.066
12,986.0,2390.92,1760.0,1708.7423624568958,-51.25763754310424,984,285.398802153517,866.5291509176028,1.0,0.8,1.0,0,82.16666666666667,199.24333333333334
7,948.0,657.17,1578.97,1525.5727682538945,-53.39723174610549,574,278.0874315681477,673.4853366857468,1.0,1.0,1.0,0,135.42857142857142,93.88142857142857
3,429.0,2400.13,1411.95,1274.5158948036458,-137.43410519635427,246,161.90760430703403,866.6082904966117,1.0,1.0,1.0,0,143.0,800.0433333333334
4,362.0,646.43,788.53,1135.5190216939218,346.9890216939218,328,145.26,662.2590216939219,1.0,1.0,1.0,0,90.5,161.6075
2,622.0,1871.56,1494.23,924.974073027219,-569.255926972781,164,208.37370849898477,860.9250555373071,1.0,1.0,0.75,0,311.0,935.78
1,140.0,255.99,150.34,375.1925,224.8525,82,81.19999999999999,191.9925,1.0,1.0,1.0,20,140.0,255.99
8,123.0,612.55,851.24,1314.3302254663517,463.09022546635174,656,64.97896536343781,593.3512601029139,1.0,1.0,1.0,0,15.375,76.56875
4,87.0,2463.92,1413.52,1242.1225494512805,-171.39745054871946,328,46.980000000000004,867.1425494512804,1.0,1.0,1.0,0,21.75,615.98
10,164.0,1144.9,1516.43,1396.489475406678,-119.94052459332215,820,86.14890829014092,839.4629359682062,1.0,0.8,1.0,0,16.4,114.49000000000001
1,989.0,2196.84,1439.17,933.1478858008611,-506.02211419913897,82,297.46999999999997,864.7271810678149,1.0,1.0,0.75,0,989.0,2196.84
4,470.0,1968.63,1501.1,1360.2908531670269,-140.80914683297306,328,170.1,862.1908531670268,1.0,1.0,1.0,0,117.5,492.1575
1,37.0,1397.17,1092.94,716.2278203242931,-376.7121796757069,82,21.459999999999997,851.5104270990576,1.0,1.0,0.75,0,37.0,1397.17
8,488.0,439.7,1030.13,1157.6718542494923,127.54185424949219,656,171.89685424949238,329.775,1.0,1.0,1.0,0,61.0,54.9625
12,757.0,897.4,1780.07,1980.1427199116451,200.0727199116452,984,232.728802153517,763.4139177581283,1.0,1.0,1.0,0,63.083333333333336,74.78333333333333
14,958.0,1727.76,2065.16,1828.3041535110642,-236.85584648893564,1148,278.6161798705988,858.7640120182311,1.0,0.8,1.0,0,68.42857142857143,123.41142857142857
2,456.0,2390.7,1342.39,900.5407219544668,-441.8492780455333,164,170.19370849898476,866.527254106971,1.0,1.0,0.75,0,228.0,1195.35
5,733.0,41.18,771.83,670.6304175279993,-101.19958247200077,410,229.74541752799934,30.884999999999998,1.0,1.0,1.0,0,146.6,8.236
5,291.0,1279.7,1477.12,1385.4007338302747,-91.71926616972519,410,128.08541752799934,847.3153163022754,1.0,1.0,1.0,0,58.2,255.94
10,478.0,2091.79,1568.41,1482.1003158510107,-86.30968414898939,820,168.99964425626942,863.6257505574939,1.0,0.8,1.0,0,47.8,209.179
8,817.0,1455.73,1847.26,1405.3790733051094,-441.8809266948906,656,247.5668542494924,853.1569873818943,1.0,0.8,1.0,0,102.125,181.96625
6,1043.0,1404.35,1807.42,1644.1468618464878,-163.27313815351226,492,300.4219726474218,851.724889199066,1.0,1.0,1.0,0,173.83333333333334,234.0583333333333
2,958.0,1855.58,1549.54,982.7677197017287,-566.7722802982713,164,285.65370849898477,860.70325110332,1.0,1.0,0.75,0,479.0,927.79
